player_number,player_cap,player,position
2,SOPHIE JAQUES,Sophie Jaques,D
3,JOCELYNE LAROCQUE,Jocelyne Larocque,D
7,LAURA STACEY,Laura Stacey,F
9,JESSIE ELDRIDGE,Jessie Eldridge,F
10,SARAH FILLIER,Sarah Fillier,F
14,RENATA FAST,Renata Fast,D
16,JESSICA DIGIROLAMO,Jessica Digirolamo,D
17,ELLA SHELTON,Ella Shelton,D
19,BRIANNE JENNER,Brianne Jenner,F
20,SARAH NURSE,Sarah Nurse,F
21,ASHTON BELL,Ashton Bell,D
23,ERIN AMBROSE,Erin Ambrose,D
25,JAIME BOURBONNAIS,Jaime Bourbonnais,D
26,EMILY CLARK,Emily Clark,F
27,EMMA MALTAIS,Emma Maltais,F
29,MARIE-PHILIP POULIN,Marie-Philip Poulin,F
36,LOREN GABEL,Loren Gabel,F
40,BLAYRE TURNBULL,Blayre Turnbull,F
41,JENNIFER GARDINER,Jennifer Gardiner,F
43,KRISTIN O’NEILL,Kristin O’Neill,F
47,JAMIE LEE RATTRAY,Jamie Lee Rattray,F
61,NICOLE GOSLING,Nicole Gosling,D
72,ANNE CHERKOWSKI,Anne Cherkowski,F
88,JULIA GOSLING,Julia Gosling,F
92,DANIELLE SERDACHNY,Danielle Serdachny,F
30,CORINNE SCHROEDER,Corinne Schroeder,G
35,ANN-RENÉE DESBIENS,Ann-Renée Desbiens,G
38,EMERANCE MASCHMEYER,Emerance Maschmeyer,G
50,KRISTEN CAMPBELL,Kristen Campbell,G
