player_number,player_cap,player,position
3,CAYLA BARNES,Cayla Barnes,D
4,CAROLINE HARVEY,Caroline Harvey,D
5,MEGAN KELLER,Megan Keller,D
6,RORY GUILDAY,Rory Guilday,D
7,LACEY EDEN,Lacey Eden,F
8,HALEY WINN,Haley Winn,D
9,KIRSTEN SIMMS,Kirsten Simms,F
10,BECCA GILMORE,Becca Gilmore,F
11,ABBY ROQUE,Abby Roque,F
12,KELLY PANNEK,Kelly Pannek,F
13,GRACE ZUMWINKLE,Grace Zumwinkle,F
14,LAILA EDWARDS,Laila Edwards,F
15,SAVANNAH HARMON,Savannah Harmon,D
16,HAYLEY SCAMURRA,Hayley Scamurra,F
17,BRITTA CURL,Britta Curl,F
19,ALLY SIMPSON,Ally Simpson,D
21,HILARY KNIGHT,Hilary Knight,F
22,TESSA JANECKE,Tessa Janecke,F
23,HANNAH BILKA,Hannah Bilka,F
24,NATALIE BUCHBINDER,Natalie Buchbinder,D
25,ALEX CARPENTER,Alex Carpenter,F
27,TAYLOR HEISE,Taylor Heise,F
36,GABBIE HUGHES,Gabbie Hughes,F
37,ABBEY MURPHY,Abbey Murphy,F
38,ANNA WILGREN,Anna Wilgren,D
39,CASEY OBRIEN,Casey Obrien,F
29,NICOLE HENSLEY,Nicole Hensley,G
30,ABBEY LEVY,Abbey Levy,G
31,AERIN FRANKEL,Aerin Frankel,G
